title,region,edition,xboxid,pubid,gameid,discid,regionid
Dave Mirra Freestyle BMX 2,USA,Platinum Hits,AC00101A,AC,001,01,A
Dave Mirra Freestyle BMX 2,Europe,Original,AC00102E,AC,001,02,E
All-Star Baseball 2003 featuring Derek Jeter,USA,Original,AC00201A,AC,002,01,A
All-Star Baseball 2003 featuring Derek Jeter,Europe,Original,AC00202E,AC,002,02,E
All-Star Baseball 2003 featuring Derek Jeter,Japan,Original,AC00203J,AC,002,03,J
Legends of Wrestling,USA,Original,AC00301A,AC,003,01,A
Legends of Wrestling,Europe,Original,AC00302E,AC,003,02,E
Turok: Evolution,USA,Original,AC00401A,AC,004,01,A
Turok: Evolution,Europe,Original,AC00402E,AC,004,02,E
Turok: Evolution,Germany,Original,AC00403E,AC,004,03,E
Vexx,USA,Original,AC00503A,AC,005,03,A
Vexx,Europe,Original,AC00504E,AC,005,04,E
Burnout,USA,Original,AC00601A,AC,006,01,A
Burnout,Europe,"Classics, ESC Escape 03 Xbox Charity Pack",AC00602E,AC,006,02,E
Aggressive Inline,USA,Original,AC00701A,AC,007,01,A
Aggressive Inline,Europe,Original,AC00702E,AC,007,02,E
,,,,AC,008,,
,,,,AC,009,,
ATV: Quad Power Racing 2,USA,Original,AC01001A,AC,010,01,A
ATV: Quad Power Racing 2,Europe,Original,AC01002E,AC,010,02,E
Speed Kings,USA,Original,AC01101A,AC,011,01,A
Speed Kings,Europe,Original,AC01102E,AC,011,02,E
Urban Freestyle Soccer,Europe,Original,AC01202E,AC,012,02,E
Freestyle Street Soccer,USA,Original,AC01203A,AC,012,03,A
AFL Live 2003,Australia,Original,AC01301E,AC,013,01,E
BMX XXX,USA,Original,AC01401A,AC,014,01,A
BMX XXX,Europe,Original,AC01402E,AC,014,02,E
Legends of Wrestling II,USA,Original,AC01501A,AC,015,01,A
Legends of Wrestling II,Europe,Original,AC01502E,AC,015,02,E
SX Superstar,USA,Original,AC01601A,AC,016,01,A
SX Superstar,Europe,Original,AC01602E,AC,016,02,E
,,,,AC,017,,
,,,,AC,018,,
NBA Jam,USA,Original,AC01901A,AC,019,01,A
NBA Jam,Europe,Original,AC01903E,AC,019,03,E
XGRA: Extreme G Racing Association,USA,Original,AC02001A,AC,020,01,A
XGRA: Extreme G Racing Association,Europe,Original,AC02002E,AC,020,02,E
,,,,AC,021,,
Alias,USA,Original,AC02201A,AC,022,01,A
Alias,Europe,Original,AC02202E,AC,022,02,E
Dakar 2,Europe,Original,AC02301E,AC,023,01,E
Dakar 2: The World's Ultimate Rally,USA,Original,AC02302A,AC,023,02,A
All-Star Baseball 2004 featuring Derek Jeter,USA,Original,AC02401A,AC,024,01,A
Burnout 2: Point of Impact,USA,Original,AC02503A,AC,025,03,A
Burnout 2: Point of Impact,Europe,Original,AC02504E,AC,025,04,E
Gladiator: Sword of Vengeance,USA,Original,AC02601A,AC,026,01,A
Gladiator: Sword of Vengeance,Europe,Original,AC02602E,AC,026,02,E
Gladiator: Schwert der Rache,Germany,Original,AC02603E,AC,026,03,E
AFL Live 2004,Australia,Original,AC02702E,AC,027,02,E
All-Star Baseball 2005 featuring Derek Jeter,USA,Original,AC02801A,AC,028,01,A
Showdown: Legends of Wrestling,USA,Original,AC02903A,AC,029,03,A
Showdown: Legends of Wrestling,Europe,Original,AC02904E,AC,029,04,E
,,,,AC,030,,
WCR: World Championship Rugby,Europe,Original,AC03101E,AC,031,01,E
,,,,AC,032,,
,,,,AC,033,,
,,,,AC,034,,
AFL Live Premiership Edition,Australia,Original,AC03501E,AC,035,01,E
The Red Star,World,Proto,AC12650W,AC,126,50,W
,,,,,,,
,,,,AD,001,,
Pump It Up: Exceed,USA,Original,AD00201A,AD,002,01,A
,,,,,,,
